XP_055125657.1	XP_055125657.1	100.000	0	0	0	100	0.0
XP_055125657.1	XP_054329270.1	98.993	3	0	0	100	0.0
XP_055125657.1	XP_054401500.1	98.993	3	0	0	100	0.0
XP_055125657.1	XP_016803172.1	98.993	3	0	0	100	0.0
XP_055125657.1	XP_054963093.1	98.993	3	0	0	100	0.0
XP_055125657.1	NP_001627.2	98.993	3	0	0	100	0.0
XP_055125657.1	XP_055233194.1	98.993	3	0	0	100	0.0
XP_055125657.1	XP_054962912.1	30.556	25	0	0	12	8.6
XP_055125650.1	XP_055125650.1	100.000	0	0	0	100	0.0
XP_055125650.1	NP_001166944.1	82.982	70	1	43	100	0.0
XP_055125650.1	XP_055233191.1	83.584	65	2	44	100	0.0
XP_055125650.1	XP_054963086.1	83.283	68	1	43	100	0.0
XP_055125650.1	XP_054934512.1	83.434	67	1	43	100	0.0
XP_055125650.1	NP_001267097.1	83.133	69	1	43	100	0.0
XP_055125650.1	XP_054329271.1	83.434	67	1	43	100	0.0
XP_055125650.1	XP_055233199.1	39.846	195	9	39	56	1.00e-73
XP_055125650.1	NP_001164509.1	39.846	195	9	39	56	1.11e-73
XP_055125650.1	XP_055125653.1	38.817	199	9	39	56	1.39e-73
XP_055125650.1	XP_016799628.1	39.589	196	9	39	56	3.31e-73
XP_055125650.1	XP_054329445.1	39.846	195	9	39	56	5.65e-73
XP_055125650.1	XP_054401328.1	39.846	195	9	39	56	5.65e-73
XP_055125650.1	XP_034807240.1	39.332	197	9	39	56	1.08e-72
XP_055125653.1	XP_055125653.1	100.000	0	0	0	100	0.0
XP_055125653.1	XP_055233199.1	93.298	25	0	0	100	0.0
XP_055125653.1	XP_054329445.1	93.029	26	0	0	100	0.0
XP_055125653.1	XP_054401328.1	93.029	26	0	0	100	0.0
XP_055125653.1	NP_001164509.1	93.029	26	0	0	100	0.0
XP_055125653.1	XP_016799628.1	92.493	28	0	0	100	0.0
XP_055125653.1	XP_034807240.1	92.225	29	0	0	100	0.0
XP_055125653.1	NP_001267097.1	40.327	181	7	38	98	5.12e-80
XP_055125653.1	XP_054963086.1	40.327	181	7	38	98	1.07e-79
XP_055125653.1	XP_054934512.1	39.782	183	7	38	98	8.85e-78
XP_055125653.1	NP_001166944.1	40.054	182	7	38	98	1.04e-77
XP_055125653.1	XP_054329271.1	39.782	183	7	38	98	1.07e-77
XP_055125653.1	XP_055233191.1	40.872	178	8	39	98	1.23e-77
